

35, 0.4999
36, 0.4962
33, 0.5023
34, 0.5105
39, 0.4931
37, 0.5031
38, 0.5037
43, 0.501
42, 0.5027
41, 0.4985
40, 0.4959
22, 0.5126
23, 0.4934
24, 0.5038
25, 0.5009
26, 0.4985
27, 0.5087
28, 0.5037
29, 0.5006
3, 0.4983
2, 0.4986
1, 0.503
30, 0.4983
7, 0.4901
6, 0.5007
5, 0.4894
32, 0.493
4, 0.4984
31, 0.4951
9, 0.5022
8, 0.4934
19, 0.5056
17, 0.4955
18, 0.501
15, 0.4958
16, 0.4991
13, 0.5092
14, 0.4989
11, 0.4974
12, 0.5025
21, 0.5
20, 0.5
49, 0.5025
48, 0.5011
45, 0.5107
44, 0.4955
47, 0.4883
46, 0.4986
10, 0.4928
50, 0.4961
Frequent 1-itemsets
[35, 36, 33, 34, 39, 37, 38, 43, 42, 41, 40, 22, 23, 24, 25, 26, 27, 28, 29, 3, 2, 1, 7, 30, 6, 5, 32, 4, 31, 9, 8, 19, 17, 18, 15, 16, 13, 14, 11, 12, 21, 20, 49, 48, 45, 44, 47, 46, 10, 50]


47 46, 0.2415
28 50, 0.2518
14 20, 0.2489
14 21, 0.2527
28 44, 0.2503
28 45, 0.2576
28 48, 0.2529
28 49, 0.2545
28 46, 0.2499
28 47, 0.2461
17 11, 0.2411
17 12, 0.2455
17 10, 0.2422
17 15, 0.2445
17 16, 0.245
17 13, 0.2524
17 14, 0.2475
17 20, 0.2488
17 21, 0.2478
47 50, 0.2439
16 10, 0.2483
16 11, 0.2529
16 12, 0.2477
16 13, 0.2561
16 14, 0.2489
14 12, 0.2534
17 18, 0.247
14 10, 0.2469
14 11, 0.2456
28 10, 0.2458
28 12, 0.2522
28 11, 0.249
28 14, 0.251
28 13, 0.2544
28 16, 0.2495
28 15, 0.252
41 15, 0.2443
41 14, 0.2491
41 13, 0.2552
41 12, 0.2491
41 11, 0.25
41 10, 0.2439
17 47, 0.2422
21 49, 0.2535
17 46, 0.2453
17 49, 0.2509
21 48, 0.2486
21 47, 0.2434
17 48, 0.2503
41 19, 0.2535
21 46, 0.253
21 45, 0.2547
41 18, 0.2466
17 45, 0.2541
41 17, 0.2461
21 44, 0.2509
17 44, 0.249
41 16, 0.2465
21 50, 0.2516
41 20, 0.2508
28 30, 0.2498
41 22, 0.2528
41 21, 0.2486
41 24, 0.251
41 23, 0.2444
41 26, 0.2448
17 50, 0.2457
41 25, 0.243
41 28, 0.2518
41 27, 0.2517
41 29, 0.25
28 32, 0.2477
28 31, 0.2507
14 44, 0.2505
14 46, 0.2471
14 45, 0.2553
28 29, 0.252
41 32, 0.2435
41 31, 0.2481
41 30, 0.2471
14 49, 0.2477
36 12, 0.2488
36 13, 0.2573
28 21, 0.2501
36 10, 0.24
14 47, 0.2389
14 48, 0.2506
36 11, 0.2443
28 20, 0.2549
35 5, 0.2446
35 4, 0.25
37 9, 0.2505
35 3, 0.2533
37 8, 0.2493
35 2, 0.2572
35 1, 0.2491
37 7, 0.246
28 19, 0.2545
37 6, 0.2541
28 17, 0.249
37 5, 0.2428
14 50, 0.2456
28 18, 0.2533
37 4, 0.2502
37 3, 0.2518
37 2, 0.2543
37 1, 0.2519
35 9, 0.2531
41 40, 0.2439
35 8, 0.2451
35 7, 0.2456
35 6, 0.2495
39 29, 0.2456
39 28, 0.2497
41 50, 0.2492
36 18, 0.2535
36 19, 0.2467
36 16, 0.2475
36 17, 0.2469
36 14, 0.2485
36 15, 0.2471
36 24, 0.2485
36 23, 0.2388
36 22, 0.2499
36 21, 0.2494
36 20, 0.2491
41 49, 0.2509
39 30, 0.244
39 31, 0.2403
41 47, 0.241
41 48, 0.2457
39 32, 0.2438
41 45, 0.2568
41 46, 0.2509
41 44, 0.246
39 37, 0.2486
39 38, 0.2499
36 29, 0.2489
36 25, 0.2435
36 26, 0.2432
36 27, 0.2531
36 28, 0.2538
36 33, 0.2497
36 32, 0.2446
36 34, 0.2525
39 40, 0.2485
39 41, 0.2424
36 31, 0.2448
36 30, 0.2493
39 44, 0.2424
39 45, 0.2533
39 42, 0.2509
39 43, 0.2539
39 48, 0.2499
39 49, 0.2539
39 46, 0.2449
39 47, 0.2416
3 50, 0.2425
36 38, 0.2508
36 39, 0.2446
36 37, 0.252
36 42, 0.2533
6 21, 0.2517
6 20, 0.2562
36 41, 0.245
36 40, 0.2428
36 46, 0.2446
36 45, 0.253
36 44, 0.2425
36 43, 0.2528
39 13, 0.254
